"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"RSA accession: 1070","velutina","-117.428354","34.325158","Arizona ash","12566370","1927-09-09","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1129283","velutina","-117.290734","34.537937","Arizona ash","38484510","1961-09-10","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1152142","velutina","-117.319535","34.305687","Arizona ash","6605198","1965-05-23","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"POM accession: 8055","velutina","-117.290734","34.537937","Arizona ash","38484510","1920-05-17","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SD3679","velutina","-117.23639","34.41279","Arizona ash","50000000","1934-06-01","SDNHM","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0090158","velutina","-120.295","34.86","Arizona ash","50000000","1961-01-10","UC Riverside","Santa Barbara","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"760819","velutina","-118.0272","36.3206","Arizona ash","3141592","1936-04-18","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"899685","velutina","-118.0271","36.3211","Arizona ash","18095573","1960-06-08","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"POM accession: 3535","velutina","-118.032793","36.387819","Arizona ash","16982271","1906-06-05","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"940001","velutina","-118.0232","36.3168","Arizona ash","1130973","1989-05-17","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1038666","velutina","-118.026","36.3196","Arizona ash","28274333","1948-10-09","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1187426","velutina","-118.022726","36.321714","Arizona ash","3141592","1940-11-02","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"RSA accession: 7545","velutina","-118.022726","36.321714","Arizona ash","3141592","1933-08-18","Cal BG","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
