"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"in:72319067","dipetala","-118.578063","34.353492","Two petaled ash","210741","2021-03-28","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177394","dipetala","-120.861309","36.359243","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177395","dipetala","-120.861069","36.358984","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177396","dipetala","-120.861113","36.357407","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177397","dipetala","-120.861043","36.355711","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177398","dipetala","-120.859188","36.353463","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177399","dipetala","-120.85795","36.354509","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177400","dipetala","-120.85623","36.352426","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177401","dipetala","-120.855858","36.352884","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177402","dipetala","-120.854489","36.359383","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177403","dipetala","-120.850089","36.358327","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177404","dipetala","-120.848879","36.357382","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177405","dipetala","-120.847003","36.359176","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177406","dipetala","-120.848971","36.35941","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177407","dipetala","-120.849219","36.361811","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177408","dipetala","-120.845848","36.3596","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177409","dipetala","-120.760755","36.358395","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
