"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"in:16441157","latifolia","-120.319947","37.960605","Oregon ash","12867","2018-09-11","iNaturalist","Tuolumne","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io5671","latifolia","-121.168153","38.684793","Oregon ash","2827","2018-09-09","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io5462","latifolia","-121.169357","38.685049","Oregon ash","78","2018-08-18","","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po94056","latifolia","-119.388056","37.080475","Oregon ash","","2018-08-12","","Fresno","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po94057","latifolia","-119.388986","37.08026","Oregon ash","","2018-08-12","","Fresno","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po92612","latifolia","-122.160212","37.34961","Oregon ash","1964","2018-08-04","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:14615479","latifolia","-122.612821","38.116478","Oregon ash","78","2018-07-22","iNaturalist","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg69825","latifolia","-121.300734","39.950996","Oregon ash","314","2018-07-19","","Plumas","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:14287312","latifolia","-119.181814","36.328221","Oregon ash","254","2018-07-11","iNaturalist","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg66874","latifolia","-121.240754","40.007354","Oregon ash","314","2018-06-21","","Plumas","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:13540750","latifolia","-123.233337","40.735942","Oregon ash","314","2018-06-17","iNaturalist","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:13310319","latifolia","-123.30932","40.365387","Oregon ash","314","2018-06-09","iNaturalist","Trinity","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gp8213","latifolia","-122.18392","37.43464","Oregon ash","","2018-06-08","","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg65940","latifolia","-122.851877","38.403638","Oregon ash","546","2018-05-20","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg62810","latifolia","-121.311427","39.250954","Oregon ash","314","2018-05-16","","Yuba","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:12219084","latifolia","-121.631994","38.555268","Oregon ash","201","2018-05-05","iNaturalist","Yolo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg61112","latifolia","-121.616751","39.423684","Oregon ash","314","2018-04-28","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg59943","latifolia","-121.994302","39.8684","Oregon ash","314","2018-04-16","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:10995741","latifolia","-121.629407","38.552535","Oregon ash","28","2018-04-15","iNaturalist","Yolo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:9426049","latifolia","-118.48597","35.970036","Oregon ash","11689","2018-01-06","iNaturalist","Tulare","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:8920567","latifolia","-123.79622","40.090275","Oregon ash","78","2017-11-24","iNaturalist","Humboldt","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg54423","latifolia","-122.059329","37.874771","Oregon ash","78","2017-11-07","Shell Ridge Open Space GIS Project","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg54366","latifolia","-121.76023","39.7726","Oregon ash","115","2017-11-02","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po63714","latifolia","-120.14362","34.585762","Oregon ash","","2017-10-30","","Santa Barbara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:8149292","latifolia","-123.367029","38.650119","Oregon ash","380","2017-09-27","iNaturalist","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:8150117","latifolia","-123.364227","38.651803","Oregon ash","78","2017-09-27","iNaturalist","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:6676359","latifolia","-120.953716","38.819564","Oregon ash","153","2017-06-15","iNaturalist","El Dorado","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po32774","latifolia","-122.34592","40.49804","Oregon ash","10","2017-04-21","","Shasta","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg35955","latifolia","-122.550876","38.023003","Oregon ash","28","2017-02-27","Marin County Parks data pro","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg34339","latifolia","-122.817557","38.40837","Oregon ash","20611","2016-11-12","","Sonoma","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56917","latifolia","-122.806327","38.40175","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56915","latifolia","-122.806337","38.401724","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56914","latifolia","-122.806262","38.401799","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56913","latifolia","-122.806236","38.401849","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56912","latifolia","-122.806206","38.401869","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56906","latifolia","-122.80611","38.401942","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56903","latifolia","-122.806188","38.401863","Oregon ash","","2016-10-24","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
