species,common_name,x,y
Fraxinus latifolia,Oregon ash,-122.611507,37.958229
Fraxinus latifolia,Oregon ash,-121.572855,38.943455
Fraxinus latifolia,Oregon ash,-121.613021,39.025063
Fraxinus latifolia,Oregon ash,-121.613054,39.026334
Fraxinus latifolia,Oregon ash,-121.757544,39.094427
Fraxinus latifolia,Oregon ash,-121.769291,39.100507
Fraxinus latifolia,Oregon ash,-121.747644,39.0527
Fraxinus latifolia,Oregon ash,-121.638633,38.909215
Fraxinus latifolia,Oregon ash,-121.358471,39.099294
Fraxinus latifolia,Oregon ash,-121.603335,39.011269
Fraxinus latifolia,Oregon ash,-121.589254,39.1489
Fraxinus latifolia,Oregon ash,-121.481279,39.275644
Fraxinus latifolia,Oregon ash,-121.606709,39.042955
Fraxinus latifolia,Oregon ash,-121.6022,39.040153
Fraxinus latifolia,Oregon ash,-121.945091,39.238519
Fraxinus latifolia,Oregon ash,-121.930515,39.238458
Fraxinus latifolia,Oregon ash,-121.926847,39.2503
Fraxinus latifolia,Oregon ash,-121.850105,39.161552
Fraxinus latifolia,Oregon ash,-121.838741,39.141687
Fraxinus latifolia,Oregon ash,-121.773672,39.102644
Fraxinus latifolia,Oregon ash,-121.772027,39.100762
Fraxinus latifolia,Oregon ash,-121.836504,39.139818
Fraxinus latifolia,Oregon ash,-121.596247,38.894142
Fraxinus latifolia,Oregon ash,-121.67257,38.964537
Fraxinus latifolia,Oregon ash,-121.67437,38.965792
Fraxinus latifolia,Oregon ash,-121.708578,38.988855
Fraxinus latifolia,Oregon ash,-121.748098,39.072132
Fraxinus latifolia,Oregon ash,-121.387277,38.304337
Fraxinus latifolia,Oregon ash,-121.319063,38.601942
Fraxinus latifolia,Oregon ash,-121.442508,38.446096
Fraxinus latifolia,Oregon ash,-121.429344,38.441748
Fraxinus latifolia,Oregon ash,-121.475228,38.602379
Fraxinus latifolia,Oregon ash,-122.579528,38.577257
Fraxinus latifolia,Oregon ash,-122.010698,39.278021
Fraxinus latifolia,Oregon ash,-121.559884,38.616202
Fraxinus latifolia,Oregon ash,-121.621357,38.670713
Fraxinus latifolia,Oregon ash,-121.630515,38.680544
Fraxinus latifolia,Oregon ash,-121.839085,38.956256
Fraxinus latifolia,Oregon ash,-121.914538,39.118684
Fraxinus latifolia,Oregon ash,-121.326437,38.587513
Fraxinus latifolia,Oregon ash,-121.375083,38.568662
Fraxinus latifolia,Oregon ash,-121.271636,38.631186
Fraxinus latifolia,Oregon ash,-120.431013,36.84641
Fraxinus latifolia,Oregon ash,-119.636404,36.453507
Fraxinus latifolia,Oregon ash,-120.848798,37.366026
Fraxinus latifolia,Oregon ash,-121.581053,38.999836
Fraxinus latifolia,Oregon ash,-121.572057,38.953312
Fraxinus latifolia,Oregon ash,-121.577545,39.494105
Fraxinus latifolia,Oregon ash,-121.591239,39.335125
Fraxinus latifolia,Oregon ash,-121.524423,38.892455
Fraxinus latifolia,Oregon ash,-121.524066,38.887449
Fraxinus latifolia,Oregon ash,-121.445731,39.02235
Fraxinus latifolia,Oregon ash,-121.409865,39.032121
Fraxinus latifolia,Oregon ash,-121.349173,38.937441
Fraxinus latifolia,Oregon ash,-121.575849,39.142267
Fraxinus latifolia,Oregon ash,-121.337405,38.362846
Fraxinus latifolia,Oregon ash,-121.340489,38.361097
Fraxinus latifolia,Oregon ash,-121.341583,38.360319
Fraxinus latifolia,Oregon ash,-121.586842,39.092428
Fraxinus latifolia,Oregon ash,-121.967563,38.520426
Fraxinus latifolia,Oregon ash,-121.967271,38.519991
Fraxinus latifolia,Oregon ash,-121.775584,38.519856
Fraxinus latifolia,Oregon ash,-122.964949,38.496089
Fraxinus latifolia,Oregon ash,-121.90834,39.18726
Fraxinus latifolia,Oregon ash,-122.2398,37.40995
Fraxinus latifolia,Oregon ash,-122.2398,37.40995
Fraxinus latifolia,Oregon ash,-122.265833,38.907222
Fraxinus latifolia,Oregon ash,-121.595532,39.306722
Fraxinus latifolia,Oregon ash,-121.605358,39.075234
Fraxinus latifolia,Oregon ash,-121.402409,39.228897
Fraxinus latifolia,Oregon ash,-121.28852,39.107551
Fraxinus latifolia,Oregon ash,-121.292901,39.108598
Fraxinus latifolia,Oregon ash,-121.353792,39.099624
Fraxinus latifolia,Oregon ash,-121.630599,38.552313
Fraxinus latifolia,Oregon ash,-121.601029,38.554523
Fraxinus latifolia,Oregon ash,-121.630745,38.531282
Fraxinus latifolia,Oregon ash,-121.583535,38.572317
Fraxinus latifolia,Oregon ash,-121.579595,38.601574
Fraxinus latifolia,Oregon ash,-121.580561,38.601514
Fraxinus latifolia,Oregon ash,-121.753475,38.517451
Fraxinus latifolia,Oregon ash,-121.792641,38.526053
Fraxinus latifolia,Oregon ash,-122.086796,38.514721
Fraxinus latifolia,Oregon ash,-121.827164,39.73718
Fraxinus latifolia,Oregon ash,-121.803403,39.747344
Fraxinus latifolia,Oregon ash,-121.783763,39.7657
Fraxinus latifolia,Oregon ash,-122.055201,39.865002
Fraxinus latifolia,Oregon ash,-121.939571,39.707447
Fraxinus latifolia,Oregon ash,-121.950399,39.712618
Fraxinus latifolia,Oregon ash,-121.971088,39.684818
Fraxinus latifolia,Oregon ash,-122.100731,39.919449
Fraxinus latifolia,Oregon ash,-122.085692,39.915304
Fraxinus latifolia,Oregon ash,-122.093763,39.933216
Fraxinus latifolia,Oregon ash,-122.005166,39.756024
Fraxinus latifolia,Oregon ash,-121.975104,39.614269
Fraxinus latifolia,Oregon ash,-121.998237,39.75163
Fraxinus latifolia,Oregon ash,-122.034522,39.789608
Fraxinus latifolia,Oregon ash,-122.128325,40.090555
Fraxinus latifolia,Oregon ash,-122.091537,40.050063
Fraxinus latifolia,Oregon ash,-122.111454,40.037504
Fraxinus latifolia,Oregon ash,-122.112806,40.010063
Fraxinus latifolia,Oregon ash,-122.129491,40.00263
Fraxinus latifolia,Oregon ash,-122.129508,40.002261
Fraxinus latifolia,Oregon ash,-122.112917,40.011451
Fraxinus latifolia,Oregon ash,-119.839972,36.860103
Fraxinus latifolia,Oregon ash,-119.84225,36.859859
Fraxinus latifolia,Oregon ash,-119.504187,36.516001
Fraxinus latifolia,Oregon ash,-119.703289,36.425901
Fraxinus latifolia,Oregon ash,-119.697162,36.424138
Fraxinus latifolia,Oregon ash,-119.74171,36.941918
Fraxinus latifolia,Oregon ash,-119.464676,36.60541
Fraxinus latifolia,Oregon ash,-119.789366,36.876557
Fraxinus latifolia,Oregon ash,-119.78501,36.881206
Fraxinus latifolia,Oregon ash,-119.784802,36.882407
Fraxinus latifolia,Oregon ash,-119.794968,36.87751
Fraxinus latifolia,Oregon ash,-120.494542,37.645242
